country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
FR,RF7,Ruffey-lès-Beaune,Ruffey-les-Beaune,21,--3--6--,RL,,4701N 00455E,,FRRF7
FR,RLE,Ruffey-lès-Echirey,Ruffey-les-Echirey,21,-23-----,RL,,4722N 00505E,,FRRLE
FR,FR7,Ruffieux,Ruffieux,73,--3--6--,RL,,4551N 00550E,,FRFR7
FR,FVG,Ruffigné,Ruffigne,44,--3-----,RL,,4745N 00130W,,FRFVG
FR,RGL,Rugles,Rugles,27,--3-----,RL,,4849N 00043E,,FRRGL
FR,RU2,Ruhans,Ruhans,70,--3-----,RL,,4728N 00608E,,FRRU2
FR,RU7,Ruillé-sur-Loir,Ruille-sur-Loir,72,--3--6--,RL,,4745N 00037E,,FRRU7
FR,RUZ,Ruitz,Ruitz,62,--3-----,RL,,5027N 00235E,,FRRUZ
FR,RUL,Rully,Rully,,--3-----,RQ,,,More than one place with this name,FRRUL
FR,I9E,Rumegies,Rumegies,59,--3-----,RL,,5029N 00321E,,FRI9E
FR,RLH,Rumersheim-le-Haut,Rumersheim-le-Haut,68,--3-----,RL,,4751N 00731E,,FRRLH
FR,RUM,Rumilly,Rumilly,,--3-----,RQ,,,More than one place with this name,FRRUM
FR,UMY,Rumilly,Rumilly,74,--3-----,RL,,4552N 00557E,,FRUMY
FR,RCH,Rumilly-en-Cambrésis,Rumilly-en-Cambresis,59,-----6--,RL,,5008N 00313E,,FRRCH
FR,VY5,Rumilly-lès-Vaudes,Rumilly-les-Vaudes,10,--3-----,RL,,4809N 00413E,,FRVY5
FR,VEQ,Rumont,Rumont,77,-----6--,RL,,4816N 02300E,,FRVEQ
FR,RUN,Rungis,Rungis,94,12------,AF,,4845N 00221E,,FRRUN
FR,RUO,Ruoms,Ruoms,7,--3-----,RL,,4427N 00420E,,FRRUO
FR,RUP,Ruppes,Ruppes,88,--3-----,RL,,4828N 00546E,,FRRUP
FR,RTM,Rupt-sur-Moselle,Rupt-sur-Moselle,88,--3-----,RL,,4754N 00640E,,FRRTM
FR,USA,Russange,Russange,57,--3-----,RL,,4929N 00557E,,FRUSA
FR,R9B,Russy-Bémont,Russy-Bemont,60,--3-----,RL,,4915N 00258E,,FRR9B
FR,RT7,Rustiques,Rustiques,11,--3--6--,RL,,4313N 00229E,,FRRT7
FR,RIX,Ruy,Ruy,38,-----6--,RL,,4535N 00519E,,FRRIX
FR,S5M,Saâcy-sur-Marne,Saacy-sur-Marne,77,1-------,RL,,4858N 00313E,,FRS5M
FR,Z5R,Saales,Saales,67,--3-----,RL,,4821N 00707E,,FRZ5R
FR,ZHT,Saasenheim,Saasenheim,68,-----6--,RL,,4814N 00737E,,FRZHT
FR,SSR,Sablé-sur-Sarthe,Sable-sur-Sarthe,72,--3-----,RL,,4750N 00020W,,FRSSR
FR,SA6,Sablet,Sablet,84,-----6--,RL,,4411N 00500E,,FRSA6
FR,SAB,Sablon,Sablon,57,-2------,AF,,4906N 00611E,,FRSAB
FR,SU4,Sablonceaux,Sablonceaux,17,-----6--,RL,,4543N 00053W,,FRSU4
FR,SBX,Sablons,Sablons,33,--3-----,RL,,4502N 00011W,,FRSBX
FR,SR4,Sabran,Sabran,30,-----6--,RL,,4409N 00433E,,FRSR4
FR,SH4,Saché,Sache,37,-----6--,RL,,4714N 00033E,,FRSH4
FR,SHY,Sachy,Sachy,8,--3-----,RL,,4940N 00508E,,FRSHY
FR,QAY,Saclay,Saclay,91,--3-----,RL,,4844N 00210E,,FRQAY
FR,SY4,Sacy,Sacy,51,-----6--,RL,,4912N 00357E,,FRSY4
FR,SG9,Sacy-le-Grand,Sacy-le-Grand,60,--3-----,RL,,4921N 00233E,,FRSG9
FR,DR9,Sadillac,Sadillac,24,--3-----,RL,,4444N 00029E,,FRDR9
FR,SD4,Sadirac,Sadirac,33,-----6--,RL,,4447N 00025W,,FRSD4
FR,ZSF,Saffré,Saffre,44,--3-----,RL,,4730N 00134W,,FRZSF
FR,4CR,Sagonne,Sagonne,18,--3-----,RL,,4651N 00250E,,FR4CR
FR,AGQ,Sagy,Sagy,71,--3--6--,RL,,4636N 00518E,,FRAGQ
FR,SH7,Sahorre,Sahorre,66,--3--6--,RL,,4232N 00222E,,FRSH7
FR,VI6,Saigneville,Saigneville,80,--3-----,RL,,5008N 00143E,,FRVI6
FR,SV4,Saignon,Saignon,84,-----6--,RL,,4352N 00526E,,FRSV4
FR,SYX,Saillac,Saillac,19,-----6--,RL,,4502N 00138E,,FRSYX
FR,S3G,Saillagouse,Saillagouse,66,--3-----,RL,,4227N 00202E,,FRS3G
FR,SQW,Saillans,Saillans,26,-----6--,RL,,4442N 00511E,,FRSQW
FR,SQZ,Saillans,Saillans,33,-----6--,RL,,4458N 00016W,,FRSQZ
FR,SVI,Saillat-sur-Vienne,Saillat-sur-Vienne,87,--3-----,RL,,4552N 00049E,,FRSVI
FR,NND,Saillenard,Saillenard,71,-----6--,RL,,4711N 00003E,,FRNND
FR,L7O,Sail-les-Bains,Sail-les-Bains,42,--3-----,RL,,4614N 00351E,,FRL7O
FR,9JX,Sailly-au-Bois,Sailly-au-Bois,62,--3-----,RL,,5007N 00235E,,FR9JX
FR,YBB,Sailly-Labourse,Sailly-Labourse,62,-----6--,RL,,5030N 00242E,,FRYBB
FR,S7Z,Sailly-lez-Cambrai,Sailly-lez-Cambrai,59,--3-----,RL,,5012N 00310E,,FRS7Z
FR,SZL,Sailly-lez-Lannoy,Sailly-lez-Lannoy,59,--3-----,RL,,5038N 00313E,,FRSZL
FR,SYI,Sailly-Saillisel,Sailly-Saillisel,80,--3--6--,RL,,5002N 00255E,,FRSYI
FR,SYY,Sailly-sur-la-Lys,Sailly-sur-la-Lys,62,1-------,RL,,5039N 00246E,,FRSYY
FR,SZN,Sail-sous-Couzan,Sail-sous-Couzan,42,-23-----,RL,,4544N 00358E,,FRSZN
FR,SBB,Sain-Bel,Sain-Bel,69,-23-----,RL,,4549N 00436E,,FRSBB
FR,SZU,Saincaize-Meauce,Saincaize-Meauce,58,--3-----,RL,,4655N 00305E,,FRSZU
FR,GGH,Sainghin-en-Mélantois,Sainghin-en-Melantois,59,-----6--,RL,,5034N 00310E,,FRGGH
FR,SEW,Sainghin-en-Weppes,Sainghin-en-Weppes,59,-23-----,RL,,5033N 00254E,,FRSEW
FR,S5E,Sainneville,Sainneville,76,--3-----,RL,,4933N 00017E,,FRS5E
FR,NSN,Sains-du-Nord,Sains-du-Nord,59,--3-----,RL,,5006N 00400E,,FRNSN
FR,6SE,Sains-en-Gohelle,Sains-en-Gohelle,62,--3-----,AA,,5027N 00241E,,FR6SE
FR,SWW,Sains-Richaumont,Sains-Richaumont,2,-----6--,RL,,4949N 00342E,,FRSWW
FR,MKU,Saint Martin du Touch,Saint Martin du Touch,31,--3-----,RL,,4336N 00123E,,FRMKU
FR,NNR,Saint-Aaron,Saint-Aaron,22,--3-----,RL,,4831N 00229W,,FRNNR
FR,AHM,Saint-Abraham,Saint-Abraham,56,--3-----,RL,,4751N 00224W,,FRAHM
FR,YRD,Saint-Adrien,Saint-Adrien,22,--3-----,RL,,4829N 00308W,,FRYRD
FR,SAQ,Saint-Affrique,Saint-Affrique,12,--3-----,RL,,4358N 00253E,,FRSAQ
FR,SGQ,Saint-Agathon,Saint-Agathon,22,--3-----,RL,,4834N 00306W,,FRSGQ
FR,TGA,Saint-Agnan,Saint-Agnan,89,--3-----,RL,,4818N 00303E,,FRTGA
FR,TGN,Saint-Agnant,Saint-Agnant,17,--3-----,RL,,4552N 00058W,,FRTGN
FR,TAG,Saint-Agne,Saint-Agne,24,--3-----,RL,,4450N 00037E,,FRTAG
FR,AG4,Saint-Agrève,Saint-Agreve,7,--3-----,RL,,4501N 00424E,,FRAG4
FR,AKP,Saint-Aignan,Saint-Aignan,33,--3-----,RL,,4457N 00018W,,FRAKP
